Student ID,Session 22/09/2023,Session 29/09/2023,Session 06/10/2023,Session 13/10/2023,Session 20/10/2023,Session 27/10/2023,Session 03/11/2023,Session 10/11/2023,Session 17/11/2023,Session 24/11/2023,Session 01/12/2023,Session 08/12/2023,Session 15/12/2023,Session 22/12/2023
0210424407,P (2/2),P (2/2),P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210110444,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210208650,P (2/2),A (0/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),P (2/2)
0211109443,P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210192813,P (2/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2)
0200186138,A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0232483110,P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),P (2/2),A (0/2),A (0/2),P (2/2)
021154835B,A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0200906350,P (2/2),P (2/2),P (2/2),A (0/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),P (2/2)
021155815C,A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0200838753,A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210110646,A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210268500,P (2/2),A (0/2),P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
020148774A,A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021145823F,P (2/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2)
0210490455,P (2/2),P (2/2),P (2/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2)
0201395418,A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0211428539,A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021137204A,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2)
0211442503,P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021137093F,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),P (2/2)
021060141F,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0211546145,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
023249220A,A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2)
0180986012,P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021153080D,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),P (2/2)
021006922C,P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
021152110D,A (0/2),A (0/2),A (0/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
019153604F,A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
0210857849,A (0/2),A (0/2),P (2/2),P (2/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2),A (0/2)
