Unnamed: 0,0000000000,Student ID,28 Sep 2023 10.30AM All students,Unnamed: 2,5 Oct 2023 10.30AM All students,Unnamed: 4,12 Oct 2023 10.30AM All students,Unnamed: 6,19 Oct 2023 10.30AM All students,Unnamed: 8,26 Oct 2023 10.30AM All students,Unnamed: 10,2 Nov 2023 10.30AM All students,Unnamed: 12,9 Nov 2023 10.30AM All students,Unnamed: 14,16 Nov 2023 10.30AM All students,Unnamed: 16,23 Nov 2023 10.30AM All students,Unnamed: 18,30 Nov 2023 10.30AM All students,Unnamed: 20,sessionsAttended,attendancePercentage,Algorithms and Complexity,Analysis 1,Bachelor Semester Project 1,Bachelor Semester Project 2,Bachelor Semester Project 3,Bachelor Semester Project 5,Bachelor Semester Project 6,Computational Science,Computational Science 1,Computing Infrastructure 1,Discrete Mathematics 1,Discrete Mathématics 2,Human-Computer Interaction (HCI),Information Management 1,Information Management 2,Intelligent Systems 2,Introduction to Machine Learning,Linear Algebra 1,Linear Algebra 2,Natural Language Processing,Online Course (OL),Online courses (OL),Programming Fundamentals 1,Programming Fundamentals 3,Programming Languages,Security 1,Security 2,Software Engineering 1,Software Engineering 2,Software Foundations,Theoretical Computer Science 1,User Centered Design,Web Development 1,Web Development 2,Unnamed: 35
1,1,022012490c,P,,,P,P,,,P,,P,,,,P,,P,,,,P,8,40.0,12.4,,,,15.5,,,,,,,10.5,,14,,,,,8.5,,,,,12.2,,14,,,,,,,,,
3,3,022043375d,P,,,,,P,P,,P,,,,,,P,P,,,,P,7,35.0,13.2,,,,19,,,,,,,15,,10,,,,,,,,,,8,,10,,,,,7,,,,
5,5,022142822f,,,P,,,,P,P,P,,P,,P,,,P,,,,P,8,40.0,14,,,,19.5,,,,,,,12.5,,12,,,,,,,,,,15.5,,12,,,,,,,,,
14,14,021154835b,,,,,,,,,,,,,,,,P,,,,P,2,10.0,,8,,,,16.5,,ABS_EXAM,,ABS_EXAM,,,9,10,,,6.9,8,,14.2,,,,7.5,,9,,6.5,,,,,,15,
15,15,020074782f,P,,P,P,P,P,,P,P,P,,,,,,,,,,,8,40.0,,,,,,,,,,,,6,,6,,,,,,,,,,ABS_EXAM,,13,,,,,,,,,
19,19,021137204a,,,,,,,,,,,,,,,,,,,,,0,0.0,3.2,10,,,0,,,,,8.7,,ABS_EXAM,8.5,7,,,6.5,6,4,16.2,,,,10,,5,,ABS_EXAM,,,4,,,3.3,
21,21,022158614a,P,P,P,P,P,P,P,,P,P,P,P,P,P,P,P,P,P,P,P,19,95.0,12.9,,,,18.5,,,,,,,14.5,,13,,,,,,,,,,8,,12,,,,,6,,,,
24,24,022041284e,P,P,P,,P,P,P,,P,P,,,,,,P,P,P,,P,12,60.0,15.1,,,,19,,,,,,13.8,14.5,,16,,,,,,,,,,8,,12,,,,,,,,,
26,26,022012681f,P,,P,,P,P,P,,P,,P,,P,,P,P,,,,,10,50.0,13.6,,,,17.5,,,,,,,12.5,,12,,,,,,,,,,13.3,,12,,,,,,,,,
28,28,021006942e,,,,,,,,,,,,,,,,,,,,,0,0.0,,,,10.0,0 *,,,,,,,,,,,,,,,,,,,,,4,,,,11.7,,,,,
29,29,022148763b,P,,,,,,,,,,P,,P,,,P,,,,P,5,25.0,11.6,,,,8.5,,,,,,,ABS_EXAM,,13,,,,,,,,,,10,,9,,,,,,,,,
31,31,022197615e,P,,,,,,,,,,,,P,,,P,,,,P,4,20.0,10,,,,19,,,,,11.8,,ABS_EXAM,,13,,,,,,,,,,12.5,,11,,,,,ABS_EXAM,,,,
32,32,022191755a,P,P,P,P,P,P,P,P,,,,,P,P,,P,,P,,P,13,65.0,14.7,,,,18,,,,,,,15.5,,15,,,,,,,,,,14.9,,13,,,,,,,,,
34,34,022112732d,P,P,,,,P,,,P,,,,,,,P,P,,,P,7,35.0,11.2,,,,0,,,,,,,10,,15,,,,,,,,,,8,,9,,,,,,,,,
35,35,022173540f,P,P,P,P,,P,P,P,P,P,,P,,P,,P,P,P,,P,15,75.0,16,,,,17.5,,,,,,,15.5,,13,,,,,,,,,,8,,11,,,,,,,,,
37,37,022122100c,P,P,,P,,,,,,P,P,,P,P,P,P,P,,,P,11,55.00000000000001,12.2,,,,17.5,,,,,,,11.5,,10,,,,,,,,,,8,,12,,,,,,,,,
44,44,022188714d,P,,,P,P,P,P,P,P,,,P,P,P,P,P,,,P,P,14,70.0,,,,,19.5,,,,,,,,,16,,,,,,,,,,12.3,,12,,,,,,,,,
46,46,022200811a,,,P,P,,P,P,P,P,,,,,,,P,,P,,P,9,45.0,13.7,,,,19.5,,,,,,,11.5,,11,,,,,,,,,,15.1,,15,,,,,,,,,
50,50,023111691f,,P,P,P,,P,P,P,P,P,P,P,,P,,P,P,,,,13,65.0,,,,,3.5,,,14,,,,,15.1,,,,,,,16.2,,,,,,17,,,,,,,,12.9,
51,51,022029815f,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,,P,P,18,90.0,18.6,,,,19.5,,,,,,,20,,20,,,,,,,,,,19.2,,20,,,,,,,,,
