Unnamed: 0,0000000000,Student ID,21 Sep 2023 10.30AM All students,28 Sep 2023 10.30AM All students,5 Oct 2023 10.30AM All students,12 Oct 2023 10.30AM All students,19 Oct 2023 10.30AM All students,26 Oct 2023 10.30AM All students,2 Nov 2023 10.30AM All students,9 Nov 2023 10.30AM All students,16 Nov 2023 10.30AM All students,23 Nov 2023 10.30AM All students,30 Nov 2023 10.30AM All students,7 Dec 2023 10.30AM All students,14 Dec 2023 10.30AM All students,sessionsAttended,attendancePercentage,Computing Infrastructure 1,Data Science for Humanities,Information Management 2,Intelligent Systems 1,Intelligent Systems 2,Linear Algebra 2,Networking and Communication,Programming Fundamentals 2,Programming Languages,Security 2,Software Engineering 2,Software Foundations,Theoretical Computer Science 2,User Centered Design
0,0,019153604F,P,,,,,,,,,,,,,1,7.6923076923076925,,,,,,,,,,,,,ABS_EXAM,
1,1,0201709038,P,,,,,,,,,,,,,1,7.6923076923076925,,ANNULATION,ANNULATION,ANNULATION,20,,,,20,19.0,18.6,ANNULATION,ANNULATION,17
2,2,018113442F,P,P,P,P,P,P,P,P,P,P,P,P,P,13,100.0,,14,,,,,,,,,,,17.1,16
4,4,0222005803,P,P,P,P,P,P,P,P,,,P,,P,10,76.92307692307693,,,5,11.6,,,,,,,,6.5,10.1,
5,5,0211428539,P,,P,,P,,P,P,P,P,,,,7,53.84615384615385,,,12,14.8,,,,13.3,17,,,12.3,15.7,
6,6,0200838753,P,,,,,,,,,,,,,1,7.6923076923076925,,11,,,13,,,,6,10.0,ABS_EXAM,,14.9,5.1
7,7,0210857849,P,P,P,P,P,P,P,P,P,P,P,P,,12,92.3076923076923,,,15,13.4,,,,,18,,,,15.2,
8,8,020148774A,P,,P,,,,,,,,P,,,3,23.07692307692308,,13,,,13,,,,,10.0,8.3,ABS_EXAM,10,8
9,9,021006942E,P,P,P,P,P,P,P,P,,P,,P,,10,76.92307692307693,,,,10,,10,,10.0,,,,11.7,ABS_EXAM,
10,10,020039043E,P,P,P,P,,,P,P,P,P,P,P,,10,76.92307692307693,,14,,,16,,,,,16.0,16,,16.6,
11,11,021152110D,P,P,P,P,P,P,P,P,P,P,P,P,,12,92.3076923076923,,,17,15.8,,,,,18,,,,15.6,
12,12,0211109443,P,P,P,P,P,P,P,P,P,P,P,P,P,13,100.0,,,14,13.7,,,,,17,,,12,15.8,
13,13,0201289722,P,P,P,P,P,P,P,P,P,P,P,P,P,13,100.0,,,,15.3,,,,,0,,,4.4,13.3,
14,14,0180986012,P,P,P,P,P,P,P,P,P,P,P,,P,12,92.3076923076923,,13,17,,,,,,,,11.7,ABS_EXAM,19.4,
15,15,0200299217,P,P,P,P,,,P,P,P,,P,,,8,61.53846153846154,,,,,19.5,,,,15,,15.4,15,13.7,
16,16,016082705B,P,P,P,P,P,P,P,P,P,,P,P,,11,84.61538461538461,,16,17,16.8,19,,,,17,18.0,17.2,ANNULATION,18.3,17
